District,State,Growth,Sex_Ratio,Literacy,,Cities,Growth,Sex_Ratio,Literacy,Total_Population,popu.dens.,,Cities,Sex_Ratio,Literacy,popu.dens.
South Andaman,Andaman And Nicobar Islands,14.23,871,89.13,,Mumbai,8.29,860,89.91,9356962,20980,,Mumbai,860,89.91,20980
North And Middle Andaman,Andaman And Nicobar Islands,-0.02,925,83.91,,Pune,30.37,915,86.15,9429408,603,,Pune,915,86.15,603
Nicobars,Andaman And Nicobar Islands,-12.42,777,78.06,,Delhi,-20.72,822,88.34,142004,4057,,New Delhi,822,88.34,4057
Rangareddy,Andhra Pradesh,48.16,961,75.87,,Ahmadabad,24.03,904,85.31,7214225,890,,Ahmadabad,904,85.31,890
East Godavari,Andhra Pradesh,5.16,1006,70.99,,Surat,42.24,787,85.53,6081322,1337,,Surat,787,85.53,1337
Guntur,Andhra Pradesh,9.47,1003,67.4,,Chennai,6.98,989,90.18,4646732,26553,,Chennai,989,90.18,26553
Krishna,Andhra Pradesh,7.87,992,73.74,,Kolkata,-1.67,908,86.31,4496694,24306,,Kolkata,908,86.31,24306
Visakhapatnam,Andhra Pradesh,11.96,1006,66.91,,Bangalore,47.18,916,87.67,9621551,4381,,Bangalore,916,87.67,4381
Chittoor,Andhra Pradesh,11.43,997,71.53,,Hyderabad,2.97,954,83.25,3943323,18172,,Hyderabad,954,83.25,18172
Anantapur,Andhra Pradesh,12.1,977,63.57,,,,,,,,,,,,
Kurnool,Andhra Pradesh,14.85,988,59.97,,,19.25,945,70.31,1193492866,378,,,,,
Mahbubnagar,Andhra Pradesh,15.34,977,55.04,,,,943,74,1210854977,382,,,,,
Hyderabad,Andhra Pradesh,2.97,954,83.25,,,,,,,,,,,,
West Godavari,Andhra Pradesh,3.51,1004,74.63,,,,,,,,,,,,
Karimnagar,Andhra Pradesh,8.15,1008,64.15,,,,,,,,,,,,
Warangal,Andhra Pradesh,8.21,997,65.11,,,,,,,,,,,,
Nalgonda,Andhra Pradesh,7.41,983,64.2,,,,,,,,,,,,
Prakasam,Andhra Pradesh,11.05,981,63.08,,,,,,,,,,,,
Medak,Andhra Pradesh,13.6,992,61.42,,,,,,,,,,,,
Sri Potti Sriramulu Nellore,Andhra Pradesh,11.05,985,68.9,,,,,,,,,,,,
YSR,Andhra Pradesh,10.79,985,67.3,,,,,,,,,,,,
Khammam,Andhra Pradesh,8.47,1011,64.81,,,,,,,,,,,,
Adilabad,Andhra Pradesh,10.18,1001,61.01,,,,,,,,,,,,
Srikakulam,Andhra Pradesh,6.52,1015,61.74,,,,,,,,,,,,
Nizamabad,Andhra Pradesh,8.77,1040,61.25,,,,,,,,,,,,
Vizianagaram,Andhra Pradesh,4.23,1019,58.89,,,,,,,,,,,,
Papumpare,Arunachal Pradesh,44.73,980,79.95,,,,,,,,,,,,
Changlang,Arunachal Pradesh,18.18,926,59.8,,,,,,,,,,,,
Lohit,Arunachal Pradesh,16.59,912,68.18,,,,,,,,,,,,
West Siang,Arunachal Pradesh,8.04,930,66.46,,,,,,,,,,,,
Tirap,Arunachal Pradesh,11.61,944,52.19,,,,,,,,,,,,
East Siang,Arunachal Pradesh,13.52,980,72.54,,,,,,,,,,,,
Kurung Kumey,Arunachal Pradesh,116.56,1032,48.75,,,,,,,,,,,,
West Kameng,Arunachal Pradesh,12.53,819,67.07,,,,,,,,,,,,
Upper Subansiri,Arunachal Pradesh,50.78,998,63.8,,,,,,,,,,,,
Lower Subansiri,Arunachal Pradesh,49,984,74.35,,,,,,,,,,,,
East Kameng,Arunachal Pradesh,37.62,1029,60.02,,,,,,,,,,,,
Lower Dibang Valley,Arunachal Pradesh,7.2,928,69.13,,,,,,,,,,,,
Tawang,Arunachal Pradesh,28.4,714,59,,,,,,,,,,,,
